Ticker
AE
ALJ
AMRC
AMRS
AMZG
ANR
AREX
AXAS
BAS
BBG
BCEI
CJES
CKH
CLD
CLNE
CPE
CPST
CRK
CRR
CRZO
CVEO
CWEI
DK
ECR
EGY
ENOC
ENPH
EOX
EPM
ERA
EXH
EXXI
FANG
FCEL
FET
FMSA
FTK
FXEN
GDP
GEOS
GIFI
GLRI
GPRE
GST
HERO
HK
HLX
HNR
HNRG
HOS
ICD
IO
ISRL
JONE
KEG
MCF
MDR
MHR
MILL
MIND
MPO
MTDR
MTRX
NADL
NAO
NES
NGS
NOG
NR
PDCE
PE
PEIX
PES
PFIE
PHX
PKD
POWR
PQ
PVA
REGI
REI
REN
REX
REXX
RNET
ROSE
RSPP
SEMG
SFY
SGY
SN
SXC
SYRG
SZYM
TAT
TERP
TESO
TPLM
TREC
TTI
VSLR
VTG
WG
WLB
WLT
WNR
WRES
WTI
XCO
